DUT	Sum
432169948484	2.580
432362045621	2.457
432394089663	2.471
433673915827	2.558
434189566026	2.627
434731696050	2.496
434959724108	2.484
435514064320	2.534
435519728207	2.583
435591902143	2.585
436135314099	2.436
437088526782	2.533
437305275319	2.449
437337878458	2.400
437496856138	2.498
437506204339	2.626
437725299641	2.566
437733075640	2.488
437908031933	2.539
437934279756	2.512
438006750140	2.522
438658141255	2.629
439189719872	2.385
439444335283	2.554
439868997188	2.431
440057886898	2.612
440105761605	2.616
440621489855	2.482
440934761794	2.371
441269727816	2.315
441675500471	2.484
441702553268	2.440
442083047488	2.545
442414263368	2.564
442684929717	2.533
442718897729	2.542
443515446854	2.490
443582721211	2.634
443951240628	2.508
444240564300	2.569
446899923894	2.615
446931061569	2.585
448990036300	2.483
450154472520	2.407
450749117876	2.363
454299321934	2.436
457987989581	2.420
458685651898	2.544
459104917686	2.624
459424308913	2.488
460350611788	2.433
460816012101	2.456
461603547314	2.376
461947184457	2.536
462284832699	2.352
462973509702	2.382
463261914956	2.426
463938163136	2.491
466390011456	2.507
466656097465	2.474
469537991346	2.552
469966070969	2.447
470151714749	2.526
470249504447	2.548
470740144716	2.407
471556789937	2.465
471781984184	2.384
472045017276	2.655
472219765172	2.579
472524309949	2.563
472551611575	2.516
472578431931	2.510
472684369475	2.512
472729665856	2.597
472732732486	2.583
472754830527	2.324
474128196800	2.497
475655186243	2.514
476589491009	2.642
479010884023	2.500
479997855044	2.496
483884698550	2.475
484152253507	2.442
484557559222	2.431
485632222393	2.493
485674393272	2.507
486495389881	2.437
489357899075	2.567
491604106171	2.587
492950091849	2.542
497497185723	2.493
497577220930	2.488
498337492047	2.476
498635995826	2.526
499543941451	2.478
499889514574	2.583
500601023411	2.512
500700248761	2.571
502805865664	2.428
505720883643	2.493
506319163456	2.436
507255261375	2.574
507540360376	2.591
507674501708	2.623
507971900234	2.534
509792427957	2.419
510254373967	2.591
510769881521	2.525
510789560133	2.612
511917828029	2.252
512404453301	2.480
512557031355	2.600
514018292804	2.425
514405103436	2.492
514531185334	2.595
514801081011	2.478
515813159347	2.613
516117188936	2.447
516598301119	2.628
517831688380	2.524
518105105851	2.495
518705780035	2.307
518864738114	2.461
519061555643	2.464
519734523460	2.516
521038352965	2.497
521924382389	2.595
522991864908	2.545
523326185280	2.429
523355021130	2.407
523499826108	2.629
525914589362	2.421
526045444285	2.452
526321745079	2.499
532620019785	2.393
533405604165	2.273
535931921590	2.361
553786822976	2.463
553877515080	2.569
554766974279	2.385
554773854272	2.448
554789626432	2.456
554860075593	2.416
555101230527	2.540
555267920206	2.519
556672265792	2.620
557606587581	2.427
567349728581	2.506
567975907656	2.583
568603891779	2.488
570209750201	2.502
570281018183	2.483
571540396216	2.613
574864854964	2.592
577902835779	2.465
578248138930	2.397
579117415868	2.616
579118122829	2.461
579620984644	2.553
579923182268	2.531
580086246581	2.511
581334872641	2.423
581982952114	2.481
582216277440	2.491
582293061955	2.538
582876976063	2.582
584032681659	2.515
584035204928	2.559
585132294208	2.394
585533693376	2.510
585692515774	2.580
585703844031	2.484
586114883908	2.575
586269423025	2.565
586452511413	2.572
589796483262	2.595
608508424629	2.525
608790621887	2.597
629445668933	2.573
632975197513	2.558
637899162183	2.572
639568109894	2.646
639770451643	2.546
641073099957	2.255
644490839743	2.528
645591309647	2.414
646005000256	2.433
647751071161	2.512
647858908229	2.494
648596081083	2.569
649177899591	2.583
650761263292	2.576
650923673531	2.501
651111897934	2.529
651192634545	2.477
651441806924	2.565
652257513657	2.446
652267016271	2.569
652706404785	2.525
652737148228	2.561
653761205181	2.562
654202542403	2.515
654678590141	2.407
654858751416	2.435
654970007991	2.446
655416171079	2.412
655976628657	2.539
656299654840	2.600
656606594491	2.544
656648158903	2.447
656929641805	2.504
657014909505	2.538
657147655091	2.492
657309003195	2.603
657824693951	2.564
657835503432	2.441
657838644043	2.533
658001680974	2.586
658203284045	2.500
658222815822	2.442
658448161204	2.462
659359830717	2.565
660712534207	2.584
906341695928	2.545
908453371833	2.499
909121264829	2.465
909139976001	2.335
909466941883	2.555
909593946295	2.463
909766082236	2.392
910044715454	2.431
910394124622	2.481
910556955835	2.397
910856974156	2.551
910955823688	2.398
911954169523	2.466
912062013624	2.410
912338829634	2.523
912514997829	2.572
913239727690	2.567



